Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
murizzz,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,3235,NOOR,FF,1.08,MATCH,3
ole,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,2.0,3235,NOOR,FF,1.08,MATCH,3
Txozin,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,2.0,2.0,3235,NOOR,FF,1.08,MATCH,3
matheuzin,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,1.0,3235,NOOR,FF,1.08,MATCH,3
kon4n,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,3.0,3235,NOOR,FF,1.08,MATCH,3
v1xen,9.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,77.0,20.0,2.0,3235,FF,NOOR,1.08,MATCH,3
delevingne,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0,3235,FF,NOOR,1.08,MATCH,3
krain,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,3.0,2.0,3235,FF,NOOR,1.08,MATCH,3
fzkk,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,1.0,0.0,3235,FF,NOOR,1.08,MATCH,3
dragonite,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,3235,FF,NOOR,1.08,MATCH,3
Nyang,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2.0,1.0,3214,GL,FF,1.08,MATCH,2
fznnn,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,3214,GL,FF,1.08,MATCH,2
JhoW,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,3214,GL,FF,1.08,MATCH,2
Jonn,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,3214,GL,FF,1.08,MATCH,2
mwzera,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,2.0,3214,GL,FF,1.08,MATCH,2
v1xen,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,14.0,0.0,3214,FF,GL,1.08,MATCH,2
delevingne,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,1.0,3214,FF,GL,1.08,MATCH,2
krain,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,1.0,1.0,3214,FF,GL,1.08,MATCH,2
fzkk,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,1.0,3.0,3214,FF,GL,1.08,MATCH,2
dragonite,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,3214,FF,GL,1.08,MATCH,2
Sacy,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,0.0,3084,VIMD,FF,1.08,MATCH,1
pepa,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0,2.0,3084,VIMD,FF,1.08,MATCH,1
prozin,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,3084,VIMD,FF,1.08,MATCH,1
Masu,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,3.0,1.0,3084,VIMD,FF,1.08,MATCH,1
pollo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,0.0,3084,VIMD,FF,1.08,MATCH,1
v1xen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,3084,FF,VIMD,1.08,MATCH,1
delevingne,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,3.0,3084,FF,VIMD,1.08,MATCH,1
krain,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,3084,FF,VIMD,1.08,MATCH,1
fzkk,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,1.0,3084,FF,VIMD,1.08,MATCH,1
dragonite,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,3084,FF,VIMD,1.08,MATCH,1
v1xen,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,17.0,0.0,3085,FF,QSM,1.08,MATCH,2
delevingne,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0,1.0,0.0,3085,FF,QSM,1.08,MATCH,2
krain,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,0.0,1.0,3085,FF,QSM,1.08,MATCH,2
fzkk,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,3085,FF,QSM,1.08,MATCH,2
dragonite,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3085,FF,QSM,1.08,MATCH,2
koé,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,1.0,3085,QSM,FF,1.08,MATCH,2
hwk,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,3085,QSM,FF,1.08,MATCH,2
sunset,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,3085,QSM,FF,1.08,MATCH,2
idk1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,1.0,3085,QSM,FF,1.08,MATCH,2
Maverick,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,3085,QSM,FF,1.08,MATCH,2
bielthemagician,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,1.0,3048,N2B,FF,1.08,MATCH,1
MATHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3048,N2B,FF,1.08,MATCH,1
Gabriel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,3048,N2B,FF,1.08,MATCH,1
chase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,3048,N2B,FF,1.08,MATCH,1
gaabxx,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,3048,N2B,FF,1.08,MATCH,1
v1xen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.0,0.0,3048,FF,N2B,1.08,MATCH,1
delevingne,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,3048,FF,N2B,1.08,MATCH,1
